complaint_text,category
insulin stock needs a doctor immediately at the ER.,Healthcare
illegal dumping is attracting rats near the park.,Sanitation
dead animal carcass is attracting rats behind the school.,Sanitation
suspicious loitering happened just now in the community park.,Public Safety
violent kidnapping happened just now near Birendra Chowk.,Public Safety
illegal racing is a threat to life near Birendra Chowk.,Public Safety
Urgent: clerk behavior is full of errors at town hall.,Administration
clinic hygiene is critical condition near the health clinic.,Healthcare
insulin stock is dropping fast near the health clinic.,Healthcare
Urgent: illegal dumping is overflowing onto street near the park.,Sanitation
Website layout is very nice for everyone.,General
traffic signal is crumbling near the square.,Infrastructure
violent kidnapping is out of control near Birendra Chowk.,Public Safety
Community festival is a great event for everyone.,General
Website layout is helpful today.,General
Urgent: dead animal carcass is attracting rats behind the school.,Sanitation
Urgent: City gardens looks beautiful for everyone.,General
garbage pile is rotting and stinking behind the school.,Sanitation
pothole on road is dangerous for cars in the downtown area.,Infrastructure
Report: gunshots fired is a threat to life near Birendra Chowk.,Public Safety
trash accumulation is rotting and stinking near the park.,Sanitation
Report: clinic hygiene is dangerously low at the city hospital.,Healthcare
Urgent: gang fighting happened just now near Birendra Chowk.,Public Safety
The weather is helpful this morning.,General
Urgent: Website layout looks beautiful for everyone.,General
Report: gunshots fired is out of control outside the mall.,Public Safety
Urgent: tax documents is being delayed at city hall.,Administration
Report: gang fighting is extremely scary at the train station.,Public Safety
water pipe leak is dangerous for cars at the intersection.,Infrastructure
Attention: traffic signal needs urgent repair in the downtown area.,Infrastructure
clinic hygiene is dangerously low in the medical ward.,Healthcare
pothole on road is breaking apart on the main highway.,Infrastructure
Urgent: illegal dumping is overflowing onto street in the residential alley.,Sanitation
The parade is helpful for everyone.,General
Report: medical emergency is dangerously low in the medical ward.,Healthcare
dead animal carcass is rotting and stinking behind the school.,Sanitation
trash accumulation is overflowing onto street behind the school.,Sanitation
raw sewage is leaking into drains behind the school.,Sanitation
Urgent: official website is stuck for months in the records office.,Administration
ambulance response is dangerously low at the city hospital.,Healthcare
permit application keeps crashing at town hall.,Administration
passport processing is full of errors at town hall.,Administration
The weather is interesting today.,General
Urgent: garbage pile is rotting and stinking in the residential alley.,Sanitation
water pipe leak is breaking apart on the main highway.,Infrastructure
Report: bridge support is dangerous for cars on the main highway.,Infrastructure
raw sewage is leaking into drains in the residential alley.,Sanitation
insulin stock is out of stock at the city hospital.,Healthcare
garbage pile is leaking into drains near the park.,Sanitation
Urgent: water pipe leak is gushing water near the square.,Infrastructure
suspicious loitering happened just now outside the mall.,Public Safety
clerk behavior is stuck for months on the government portal.,Administration
Urgent: pothole on road is dangerous for cars in the downtown area.,Infrastructure
Urgent: The parade is interesting this morning.,General
water pipe leak needs urgent repair near the square.,Infrastructure
water pipe leak is gushing water in the downtown area.,Infrastructure
Attention: permit application is full of errors on the government portal.,Administration
trash accumulation is overflowing onto street outside my house.,Sanitation
ambulance response is dropping fast at the ER.,Healthcare
permit application is being delayed at town hall.,Administration
clerk behavior is being delayed at city hall.,Administration
Attention: bridge support needs urgent repair on the main highway.,Infrastructure
Attention: street lights is crumbling at the intersection.,Infrastructure
Report: illegal dumping is overflowing onto street behind the school.,Sanitation
Urgent: birth certificate is being delayed at city hall.,Administration
Attention: suspicious loitering is out of control near Birendra Chowk.,Public Safety
